,rank_ic
2023-05-24,-0.27272727272727276
2023-05-25,-0.18181818181818185
2023-05-26,-0.20665530815981217
2023-05-30,-0.06993006993006995
2023-05-31,-0.2837132196770302
2023-06-01,-0.41958041958041964
2023-06-02,-0.31468531468531474
2023-06-05,-0.4755244755244756
2023-06-06,-0.6993006993006995
2023-06-07,-0.5594405594405596
2023-06-08,-0.013986013986013986
2023-06-09,0.02097902097902098
2023-06-12,-0.18881118881118883
2023-06-13,-0.055944055944055944
2023-06-14,-0.013986013986013986
2023-06-15,-0.16783216783216784
2023-06-16,-0.3706293706293707
2023-06-20,-0.31468531468531474
2023-06-21,-0.22377622377622378
2023-06-22,0.2027972027972028
2023-06-23,0.0979020979020979
2023-06-26,-0.27272727272727276
2023-06-27,0.02097902097902098
2023-06-28,-0.055944055944055944
2023-06-29,0.2657342657342658
2023-06-30,0.49650349650349657
2023-07-03,0.4055944055944056
2023-07-05,0.04195804195804196
2023-07-06,-0.143607926009361
2023-07-07,0.32924744011902274
2023-07-10,0.325744807777331
2023-07-11,0.4098079839779326
2023-07-12,0.35664335664335667
2023-07-13,0.3636363636363637
2023-07-14,0.32867132867132864
2023-07-17,0.1120842349341354
2023-07-18,-0.04992047076244684
2023-07-19,-0.2313533535018416
2023-07-20,0.10175501234426305
2023-07-21,-0.07746670967243986
2023-07-24,0.049036852783684234
2023-07-25,-0.06304738215045118
2023-07-26,-0.07005264683383464
2023-07-27,0.0
2023-07-28,0.14815390871806886
2023-07-31,0.4366305454264792
2023-08-01,-0.12959739664259406
2023-08-02,0.09457107322567675
2023-08-03,-0.5183895865703763
2023-08-04,-0.5027704555360718
2023-08-07,-0.3816468860797186
2023-08-08,-0.7605822404203186
2023-08-09,-0.3187395430939476
2023-08-10,-0.5499132776456018
2023-08-11,-0.1541158230344362
2023-08-14,0.2350891664505388
2023-08-15,-0.1245748826548378
2023-08-16,-0.15061319069274445
2023-08-17,-0.2521895286018047
2023-08-18,-0.23944255716935958
2023-08-21,-0.43082377802808297
2023-08-22,-0.4685314685314686
2023-08-23,-0.31579141762012675
2023-08-24,-0.12368186122953842
2023-08-25,0.021015794050150388
2023-08-28,-0.234676366893346
2023-08-29,-0.15304914154737215
2023-08-30,-0.06338185336835989
2023-08-31,-0.0855779498784803
2023-09-01,-0.27272727272727276
2023-09-05,0.5499132776456018
2023-09-06,0.37762237762237766
2023-09-07,0.4825174825174825
2023-09-08,0.09473742528603803
2023-09-11,-0.2035100246885261
2023-09-12,-0.2671390381609462
2023-09-13,-0.15761845537612793
2023-09-14,-0.04553422044199251
2023-09-15,0.33975533714409795
2023-09-18,-0.6223776223776225
2023-09-19,-0.5394053806205267
2023-09-20,-0.22377622377622378
